date,NDVI,VV,VH
2024-05-04,0.1504209029678275,-17.123198258736156,-26.019304597283536
2024-05-24,0.13601347517364726,-16.42538500691565,-26.291881907030824
2024-05-24,0.1347920746488489,-15.796531811297998,-26.102882750106065
2024-05-28,0.1490162571991624,-15.391347434959604,-25.503506542566907
2024-06-09,0.16784397338191887,-14.811071067742464,-24.5580407085773
2024-06-13,0.1838039347218553,-14.77428847223126,-23.619572310025816
2024-06-21,0.18820595582183322,-15.143767488855651,-23.36602451702007
2024-06-23,0.1984492395195056,-14.956498321964435,-22.944424041252798
2024-06-28,0.2060538955643315,-14.258566220828103,-22.54983072922095
2024-07-03,0.2031250276002713,-13.442290144497779,-21.774886358637637
2024-07-15,0.18446588688275398,-13.097706862347923,-21.175551686808802
2024-07-27,0.16416779150878238,-12.90514502794878,-20.554019393454872
2024-08-08,0.14483627210499989,-13.349076875224032,-20.890670494387567
2024-08-20,0.12550475270121736,-13.164107007957904,-21.1344206485977
2024-09-01,0.10617323329743487,-13.514069043069036,-21.888970520178525
2024-09-13,0.0853228087976409,-13.480043114623111,-21.75487604366757
2024-09-25,0.06523385948849432,-13.712534401898713,-21.624148568828346
2024-09-26,0.07594972217796621,-13.590250092022746,-21.339133043095874
2024-10-07,0.12193186703845496,-13.843162330787575,-21.4928434554503
2024-10-16,0.166772310832145,-13.89413256396108,-21.334454549435293
2024-10-19,0.20875963754254578,-13.511406887187395,-21.184340011507597
2024-10-31,0.24358358007450595,-13.371089084462884,-21.45217405533931
2024-11-05,0.2559975977283875,-13.507619779615982,-21.900411116353126
2024-11-10,0.2391187320053811,-13.885054275446553,-22.227907758860525
2024-11-12,0.23333062955000433,-14.074762990181961,-22.44361061676635
2024-11-15,0.23406539612965035,-14.218394356671357,-22.651362191787
2024-11-20,0.23440843829479466,-14.41945384232547,-22.95844505762589
2024-11-24,0.23718376723718101,-14.54323148291303,-23.144263031045295
2024-11-25,0.2421758633710296,-14.622802823290751,-23.263717442529195
